row_id,condition,cond_row_id,matrix,base_idx,param_j,theta_id,eta,f_cl_i,f_cl_v,E_m_i,E_m_v,E_m_h,L_hat,gamma_s,E_b_v2,lambda,B_111,E_b_i2,E_b_hV_1,Z_i,Z_i_loop,E_a0_conv,dH2_conv,phi_max_junc,dH2_abs_conv,i_mobile,loop_net_chi,loop_net_w_c,loop_net_K_rec,s_i,Z_v,Z_p_i,Z_p_v,Z_gb_i,Z_gb_v,rho_d,d_g,rho_p,r_p,s_v
6900,S330,6900,S,0,-1,0,0.24871922678490935,0.12401708029210567,0.55,0.40180861951964941,0.8,0.073504445612117275,1016.1241310866882,2.3,0.2129,0.71570901078164628,0.31368786867246468,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.10,0.34,5,50.0,200.0,1e-06,1.0,1.0,1.45,0.93,1.4,0.93,500000000000000.0,1e-06,1e+20,2e-08,2.5
6901,S330,6901,S,1,-1,1,0.24871922678490935,0.12401708029210567,0.55,0.40180861951964941,0.8,0.073504445612117275,1016.1241310866882,2.3,0.2129,0.71570901078164628,0.31368786867246468,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.10,0.34,5,50.0,150.0,1e-06,1.0,1.0,1.45,0.93,1.4,0.93,500000000000000.0,1e-06,1e+20,2e-08,2.5
6902,S330,6902,S,2,-1,2,0.24871922678490935,0.12401708029210567,0.55,0.40180861951964941,0.8,0.073504445612117275,1016.1241310866882,2.3,0.2129,0.71570901078164628,0.31368786867246468,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.10,0.34,5,50.0,100.0,1e-06,1.0,1.0,1.45,0.93,1.4,0.93,500000000000000.0,1e-06,1e+20,2e-08,2.5
6903,S330,6903,S,3,-1,3,0.24871922678490935,0.12401708029210567,0.55,0.40180861951964941,0.8,0.073504445612117275,1016.1241310866882,2.3,0.2129,0.71570901078164628,0.31368786867246468,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.10,0.36,5,50.0,200.0,1e-06,1.0,1.0,1.45,0.93,1.4,0.93,500000000000000.0,1e-06,1e+20,2e-08,2.5
6904,S330,6904,S,4,-1,4,0.24871922678490935,0.12401708029210567,0.55,0.40180861951964941,0.8,0.073504445612117275,1016.1241310866882,2.3,0.2129,0.71570901078164628,0.31368786867246468,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.10,0.38,5,50.0,200.0,1e-06,1.0,1.0,1.45,0.93,1.4,0.93,500000000000000.0,1e-06,1e+20,2e-08,2.5
6905,S330,6905,S,5,-1,5,0.24871922678490935,0.12401708029210567,0.55,0.40180861951964941,0.8,0.073504445612117275,1016.1241310866882,2.3,0.2129,0.71570901078164628,0.31368786867246468,0.60,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.10,0.34,5,50.0,200.0,1e-06,1.0,1.0,1.45,0.93,1.4,0.93,500000000000000.0,1e-06,1e+20,2e-08,2.5
6906,S330,6906,S,6,-1,6,0.24871922678490935,0.12401708029210567,0.55,0.40180861951964941,0.8,0.073504445612117275,1016.1241310866882,2.3,0.2129,0.71570901078164628,0.31368786867246468,0.68,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.10,0.34,5,50.0,200.0,1e-06,1.0,1.0,1.45,0.93,1.4,0.93,500000000000000.0,1e-06,1e+20,2e-08,2.5
6907,S330,6907,S,7,-1,7,0.24871922678490935,0.12401708029210567,0.55,0.30,0.8,0.073504445612117275,1016.1241310866882,2.3,0.2129,0.71570901078164628,0.31368786867246468,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.10,0.34,5,50.0,200.0,1e-06,1.0,1.0,1.45,0.93,1.4,0.93,500000000000000.0,1e-06,1e+20,2e-08,2.5
6908,S330,6908,S,8,-1,8,0.24871922678490935,0.12401708029210567,0.55,0.60,0.8,0.073504445612117275,1016.1241310866882,2.3,0.2129,0.71570901078164628,0.31368786867246468,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.10,0.34,5,50.0,200.0,1e-06,1.0,1.0,1.45,0.93,1.4,0.93,500000000000000.0,1e-06,1e+20,2e-08,2.5
6909,S330,6909,S,9,-1,9,0.24871922678490935,0.12401708029210567,0.55,0.40180861951964941,0.8,0.073504445612117275,1016.1241310866882,2.3,0.2129,0.71570901078164628,0.31368786867246468,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.10,0.34,20,50.0,200.0,1e-06,1.0,1.0,1.45,0.93,1.4,0.93,500000000000000.0,1e-06,1e+20,2e-08,2.5
